game,canonical_zh,aliases,case_sensitive,note
,卡池,banner|gacha banner|wish banner|character banner,0,爆料帖高频词
,复刻,rerun|re-run,0,
,保底,pity|guaranteed,0,
,歪了,lost 50/50|lost the 50/50,0,没抽到想要的五星
,实装,release|released|implemented|launch,0,
,自机,playable|playable character|playable unit,0,日语借词「自機」，指可操作角色
,深测,beta test|beta|closed beta|beta build,0,数值可能还会调整的测试阶段
,测试服,beta server|test server|PTR,0,
,爆料,leak|leaks|leaked,0,
,一图流,infographic,0,
,模组,kit,0,角色的技能组
,前台,on-field|on field|onfield,0,
,后台,off-field|off field|offield,0,
,拐,buffer|support unit,0,提供增益的辅助角色
,数值,numbers|stats,0,
,预告,teaser|preview,0,
,直播,livestream|live stream|stream,0,
,版本,version|patch,0,
原神,精通,Elemental Mastery|EM,1,EM 大写以免误匹配
原神,命座,constellation|cons,0,
原神,减抗,RES shred|resistance shred|res reduction,0,
原神,增伤,DMG bonus|damage bonus,0,
原神,爆伤,crit DMG|crit damage,0,
原神,暴击率,crit rate,0,
原神,双爆,crit ratio,0,暴击率与爆伤
原神,挂雷,electro application,0,
原神,挂水,hydro application,0,
原神,精炼,refinement,0,武器精炼等级
原神,突破,ascension,0,
原神,圣遗物,artifact|artifacts,0,
原神,天赋,talent|talents,0,
原神,元素爆发,elemental burst|burst,0,
原神,元素战技,elemental skill,0,
原神,重击,charged attack,0,
原神,下落攻击,plunging attack|plunge,0,
原神,元素反应,elemental reaction,0,
原神,蒸发,vaporize,0,
原神,融化,melt,0,
原神,超导,superconduct,0,
原神,感电,electro-charged,0,
原神,扩散,swirl,0,
原神,结晶,crystallize,0,
原神,激化,quicken,0,
原神,超激化,aggravate,0,
原神,蔓激化,spread,0,
原神,绽放,bloom,0,
原神,超绽放,hyperbloom,0,
原神,烈绽放,burgeon,0,
原神,月感电,lunar-charged,0,
原神,深渊,Spiral Abyss|Abyss,0,
原神,幻想真境剧诗,Imaginarium Theater,0,
原神,愚人众,Fatui,0,
原神,执行官,Harbinger|Fatui Harbinger,0,
原神,至冬,Snezhnaya,0,
原神,女皇,Tsaritsa,0,爆料帖常写「女皇大人」
原神,神之心,Gnosis,0,
原神,魔神,Archon,0,
崩坏:星穹铁道,光锥,light cone|light cones,0,
崩坏:星穹铁道,遗器,relic|relics,0,
崩坏:星穹铁道,星魂,eidolon|eidolons,0,
崩坏:星穹铁道,行迹,trace|traces,0,
崩坏:星穹铁道,命途,path,0,Path of 命途名
崩坏:星穹铁道,混沌回忆,Memory of Chaos,0,
崩坏:星穹铁道,虚构叙事,Pure Fiction,0,
崩坏:星穹铁道,末日幻影,Apocalyptic Shadow,0,
崩坏:星穹铁道,差分宇宙,Divergent Universe,0,
崩坏:星穹铁道,模拟宇宙,Simulated Universe,0,
崩坏:星穹铁道,星核猎手,Stellaron Hunter|Stellaron Hunters,0,
崩坏:星穹铁道,存护,Preservation,0,
崩坏:星穹铁道,记忆,Remembrance,0,
崩坏:星穹铁道,虚无,Nihility,0,
崩坏:星穹铁道,丰饶,Abundance,0,
崩坏:星穹铁道,巡猎,Hunt,0,
崩坏:星穹铁道,毁灭,Destruction,0,
崩坏:星穹铁道,欢愉,Elation,0,
崩坏:星穹铁道,同谐,Harmony,0,
崩坏:星穹铁道,智识,Erudition,0,
崩坏:星穹铁道,击破特攻,break effect,0,
崩坏:星穹铁道,行动提前,advance forward|action advance,0,
崩坏:星穹铁道,秘技,technique,0,
绝区零,音擎,W-Engine|W Engine,1,
绝区零,驱动盘,Drive Disc|Drive Discs,0,
绝区零,邦布,Bangboo|Bangboos,0,
绝区零,零号空洞,Hollow Zero,0,
绝区零,式舆防卫战,Shiyu Defense,0,
绝区零,特工,Agent|Agents,0,
绝区零,核心被动,core passive|core skill,0,
绝区零,额外能力,additional ability,0,
绝区零,代理人,Proxy,0,
绝区零,以太,Ether,0,
绝区零,空洞,Hollow,0,

